inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
BEXLXSRWUSGOOV	InChI=1S/C8H11NO2/c1-2-3-4-5-7(6-9)8(10)11/h5H,2-4H2,1H3,(H,10,11)	C8H11NO2	17	-2516.366964374644	Butylcyanoacrylate	[H]C(=C(C#N)C(=O)O)CCCC	1.979	53630044;53630043;24826231;24826230;21693347;18764630	MeSH:(Enbucrilate);biological
OOJGDPODQAPHLV	InChI=1S/C8H11NO2/c1-10-8-5-3-2-4-7(8)6-11-9/h2-5H,6,9H2,1H3	C8H11NO2	18	-2517.7711104423493	O-(2-Methoxybenzyl)hydroxylamine	O(N)CC1=CC=CC=C1OC	0.616	461277	biological
AMZBXNVXJGUYMF	InChI=1S/C8H12NO2/c10-8-4-6-2-1-3-7(5-8)9(6)11/h6-7H,1-5H2	C8H12NO2	19	-2518.3181970589635	Norpseudopelleterine-N-oxyl	O=C1CC2N([O])C(C1)CCC2	-0.46199999999999997	3035050	MeSH:(norpseudopelleterine-N-oxyl);biological
SYHVBRQKMHIAJQ	InChI=1S/C8H11NO2/c9-5-4-6-2-1-3-7(10)8(6)11/h1-3,10-11H,4-5,9H2	C8H11NO2	20	-2518.594645539632	3-(2-Aminoethyl)benzene-1,2-diol	OC=1C=CC=C(C1O)CCN	0.651	12707042	CHEBI:(125544)
GEQNZVKIDIPGCO	InChI=1S/C8H11NO2/c1-10-6-3-4-7(9)8(5-6)11-2/h3-5H,9H2,1-2H3	C8H11NO2	21	-2518.684293235322	2,4-Domethoxyaniline	O(C=1C=CC(N)=C(OC)C1)C	1.035	24848221;17652	HSDB:(2735-04-8);biological;ZINC bio:(ZINC00164543)
GHTCXZNWFLKVEC	InChI=1S/C8H11NO2/c1-3-7(5-9)4-6(2)8(10)11/h7H,2-4H2,1H3,(H,10,11)	C8H11NO2	22	-2519.489771289069	""	N#CC(CC(=C)C(=O)O)CC	0.7360000000000001	53839026	biological
DJSPVBWLAAHNCJ	InChI=1S/C8H11NO2/c1-2-3-4-6-5-9-7(6)8(10)11/h5H,2-4H2,1H3,(H,10,11)	C8H11NO2	23	-2520.0193550050594	""	O=C(O)C=1N=CC1CCCC	1.409	53763719	biological
CMQDTHWXQUKRKA	InChI=1S/C8H11NO2/c1-6-4-8(11-3)5-7(2)9(6)10/h4-5H,1-3H3	C8H11NO2	24	-2520.6981673455152	4-methoxy-2,6-dimethyl-1-oxidopyridin-1-ium	O=N1=C(C=C(OC)C=C1C)C	2.2899999999999996	2751820	ZINC bio:(ZINC00392938)
ZYJKONDZYOWOHE	InChI=1S/C8H11NO2/c9-8-2-1-6(4-10)3-7(8)5-11/h1-3,10-11H,4-5,9H2	C8H11NO2	25	-2520.913820407802	""	OCC=1C=CC(N)=C(C1)CO	0.011999999999999955	67127241	MeSH:(2,4-bis(hydroxymethyl)aniline)
RWQHTLXKXWZVIL	InChI=1S/C8H11NO2/c9-4-6-1-2-7(5-10)8(11)3-6/h1-3,10-11H,4-5,9H2	C8H11NO2	26	-2521.397493162543	Benzenemethanol, 4-(aminomethyl)-2-hydroxy-	OC1=CC(=CC=C1CO)CN	0.356	71333003	Natural Products:(UNPD55647)
CZPYPWDKUTWCHV	InChI=1S/C8H11NO2/c1-11-8-4-2-7(3-5-8)6-9-10/h2-5,9-10H,6H2,1H3	C8H11NO2	27	-2523.4605208658113	N-(4-Methoxybenzyl)hydroxylamine	ONCC1=CC=C(OC)C=C1	1.395	10909770	biological
DGFZETPZVVBGDX	InChI=1S/C8H11NO2/c1-4-6(3)9-8(11)5(2)7(4)10/h1-3H3,(H2,9,10,11)	C8H11NO2	28	-2524.7289783266233	Oprea1_144423	OC=1N=C(C(=C(O)C1C)C)C	1.4529999999999998	54684729;40469169	biological
URFGSZVXJZMYHZ	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)5-8(6)11/h1-2,5,10-11H,3-4,9H2	C8H11NO2	29	-2524.792415522792	4-(2-aminoethyl)benzene-1,3-diol	OC=1C=CC(=C(O)C1)CCN	0.49	40454434;150962	MeSH:(2,4-dihydroxyphenylethylamine);biological;CHEBI:(125570)
QPCNVCJEHULPQY	InChI=1S/C8H11NO2/c1-3-4-5-9-6-7(2)8(10)11/h2-5H2,1H3	C8H11NO2	30	-2524.863560340134	""	O=C([O-])C(C#[N+]CCCC)=C	1.0899999999999999	45790090;45790089	biological
URFGSZVXJZMYHZ	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)5-8(6)11/h1-2,5,10-11H,3-4,9H2	C8H11NO2	31	-2525.818302518111	4-(2-aminoethyl)benzene-1,3-diol	OC=1C=CC(=C(O)C1)CCN	0.49	40454434;150962	MeSH:(2,4-dihydroxyphenylethylamine);biological;CHEBI:(125570)
LCSPTLBPHFPXFQ	InChI=1S/C8H11NO2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5,10-11H,6-7H2	C8H11NO2	32	-2526.051631279568	N,N-dihydroxy-2-phenylethanamine	ON(O)CCC1=CC=CC=C1	0.5530000000000002	22288144	biological
VYFYYTLLBUKUHU	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	C8H11NO2	33	-2527.5762935710814	intropin	OC1=CC=C(C=C1O)CCN	0.651	118050204;102601159;102601070;102085251;91622591;91323489;90477543;88898406;88365521;87775092;67114988;66552395;54417148;54417147;54417146;54417145;51038520;25241144;25241143;22857281;22851969;22851103;21969852;18598659;18598488;12207262;12207256;11993861;11993860;11993858;11506498;3713609;450881;681	training set;KNApSAcK:(1408);HMDB:(73);Natural Products:(UNPD99458);CHEBI:(59905 18243);ZINC bio:(ZINC00033882);HSDB:(51-61-6);KEGG:(C03758);MeSH:(Dopamine Dopamine);biological;Biocyc
LRCXRAABFLIVAI	InChI=1S/C8H11NO2/c9-5-8(11)6-2-1-3-7(10)4-6/h1-4,8,10-11H,5,9H2	C8H11NO2	34	-2527.7024318183644	Normetol	OC=1C=CC=C(C1)C(O)CN	0.1319999999999999	44631760;11819258;10441911;6926966;6926965;719235;719234;4538	MeSH:(norfenefrine);biological;ZINC bio:(ZINC00119283 ZINC00119286)
CZPYPWDKUTWCHV	InChI=1S/C8H11NO2/c1-11-8-4-2-7(3-5-8)6-9-10/h2-5,9-10H,6H2,1H3	C8H11NO2	35	-2529.1966346005192	N-(4-Methoxybenzyl)hydroxylamine	ONCC1=CC=C(OC)C=C1	1.395	10909770	biological
KJZWYCAIEUYAIW	InChI=1S/C8H11NO2/c9-5-6-1-3-7(4-2-6)8(10)11/h6-7H,1-4H2,(H,10,11)	C8H11NO2	36	-2529.3283141615743	4-cyanocyclohexane-1-carboxylate	N#CC1CCC(C(=O)O)CC1	0.36300000000000004	20437753;10130061	ZINC bio:(ZINC13538954)
ALHCLEQKEZOJIY	InChI=1S/C8H11NO2/c1-11-7-3-2-6(5-9)8(10)4-7/h2-4,10H,5,9H2,1H3	C8H11NO2	37	-2530.9058692763183	2-(aminomethyl)-5-methoxyphenol	OC=1C=C(OC)C=CC1CN	1.082	4634562	biological
WRPWWVNUCXQDQV	InChI=1S/C8H11NO2/c1-11-8-4-6(5-9)2-3-7(8)10/h2-4,10H,5,9H2,1H3	C8H11NO2	38	-2531.1845788422074	Vanillylamine	OC1=CC=C(C=C1OC)CN	0.385	44632688;6951328;70966	HMDB:(12309);CHEBI:(46958);ZINC bio:(ZINC00404428);KEGG:(C16666);MeSH:(vanillylamine);biological;Biocyc
FQAUZFVCWFXHLF	InChI=1S/C8H11NO2/c10-7-5-2-1-3-6(4-5)8(11)9-7/h5-6H,1-4H2,(H,9,10,11)	C8H11NO2	39	-2533.390725234044	3-azabicyclo[3.3.1]nonane-2,4-dione	O=C1N=C(O)C2CCCC1C2	0.861	98200197;98200194;92965868;5260190	MeSH:(3-azabicyclo(3.3.1)nonane-2,4-dione);biological
BZMRNEWNOBBZCH	InChI=1S/C8H11NO2/c1-2-11-8-5-3-7(9-10)4-6-8/h3-6,9-10H,2H2,1H3	C8H11NO2	40	-2533.8802888008313	N-Hydroxyphenetidine	ONC1=CC=C(OCC)C=C1	1.674	108115	MeSH:(N-hydroxyphenetidine);biological
LRCXRAABFLIVAI	InChI=1S/C8H11NO2/c9-5-8(11)6-2-1-3-7(10)4-6/h1-4,8,10-11H,5,9H2	C8H11NO2	41	-2534.0205197744085	Normetol	OC=1C=CC=C(C1)C(O)CN	0.1319999999999999	44631760;11819258;10441911;6926966;6926965;719235;719234;4538	MeSH:(norfenefrine);biological;ZINC bio:(ZINC00119283 ZINC00119286)
CLJHZQFAKIIMBA	InChI=1S/C8H11NO2/c1-11-7-4-2-3-6(5-9)8(7)10/h2-4,10H,5,9H2,1H3	C8H11NO2	42	-2534.043276618556	2-(aminomethyl)-6-methoxyphenol	OC1=C(OC)C=CC=C1CN	0.8140000000000001	16775572	MeSH:(3-methoxysalicylamine)
ALHCLEQKEZOJIY	InChI=1S/C8H11NO2/c1-11-7-3-2-6(5-9)8(10)4-7/h2-4,10H,5,9H2,1H3	C8H11NO2	43	-2534.177123355647	2-(aminomethyl)-5-methoxyphenol	OC=1C=C(OC)C=CC1CN	1.082	4634562	biological
HJIDMVZCXORAIG	InChI=1S/C8H11NO2/c1-11-8-3-2-6(5-9)4-7(8)10/h2-4,10H,5,9H2,1H3	C8H11NO2	44	-2534.9677227509064	ACMC-20lpbv	OC1=CC(=CC=C1OC)CN	0.385	6969855;1132998	biological
JBJJTCGQCRGNOL	InChI=1S/C8H11NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-2,5,7H,3-4,9H2,(H,10,11)	C8H11NO2	45	-2536.3684562977364	D-(-)-Dihydro Phenylglycine	O=C(O)C(N)C1=CCC=CC1	-2.045	40501181;18937526;7157013;1268102;1268101;89381	biological
NAZDVUBIEPVUKE	InChI=1S/C8H11NO2/c1-10-6-3-4-8(11-2)7(9)5-6/h3-5H,9H2,1-2H3	C8H11NO2	46	-2537.8819864519896	2,5 dimethoxy aniline	O(C=1C=CC(OC)=C(N)C1)C	1.035	7613	biological;Natural Products:(UNPD147504);ZINC bio:(ZINC00388087)
QHGUCRYDKWKLMG	InChI=1S/C8H11NO2/c9-5-8(11)6-1-3-7(10)4-2-6/h1-4,8,10-11H,5,9H2	C8H11NO2	47	-2539.25419224488	Norphen	OC1=CC=C(C=C1)[C](O)[C]N	0.1319999999999999	71751290;45040141;21680226;6950152;6918910;448337;440266;4581	KNApSAcK:(1425);HMDB:(4825);Natural Products:(UNPD190602 UNPD60171);CHEBI:(58025 17134);ZINC bio:(ZINC00000558 ZINC00388198);KEGG:(C04227);MeSH:(Octopamine Octopamine);biological;Biocyc:(CPD-58)
KOACPIVVJXJTHO	InChI=1S/C8H11NO2/c1-6(2)5-7(3-4-9)8(10)11/h3,6H,5H2,1-2H3,(H,10,11)	C8H11NO2	48	-2539.4066892390765	(2Z)-2-(cyanomethylidene)-4-methylpentanoate	[H]C(C#N)=C(C(=O)O)CC(C)C	1.4140000000000001	54004694;23166297;23166296	biological
RONGNYRLGDRKLM	InChI=1S/C8H11NO2/c1-6(10)7-3-4-8(11)9(2)5-7/h5H,3-4H2,1-2H3	C8H11NO2	49	-2539.490934384364	5-acetyl-1-methyl-3,4-dihydropyridin-2-one	O=C(C1=CN(C(=O)CC1)C)C	-0.43000000000000005	2751323	ZINC bio:(ZINC04267741)
KVPRNGWZJOIFDL	InChI=1S/C8H11NO2/c10-6-8(7(11)9-6)4-2-1-3-5-8/h1-5H2,(H,9,10,11)	C8H11NO2	50	-2539.5538090343452	2-azaspiro[3.5]nonane-1,3-dione	O=C1N=C(O)C12CCCCC2	1.81	18620389	biological
SYHVBRQKMHIAJQ	InChI=1S/C8H11NO2/c9-5-4-6-2-1-3-7(10)8(6)11/h1-3,10-11H,4-5,9H2	C8H11NO2	51	-2540.363863736179	3-(2-Aminoethyl)benzene-1,2-diol	OC=1C=CC=C(C1O)CCN	0.651	12707042	CHEBI:(125544)
LGDHZCLREKIGKJ	InChI=1S/C8H11NO2/c1-10-7-4-3-6(9)5-8(7)11-2/h3-5H,9H2,1-2H3	C8H11NO2	52	-2540.430664376858	Oprea1_292429	O(C1=CC=C(N)C=C1OC)C	0.7669999999999999	22770	ZINC bio:(ZINC00152509)
XKICYRRQYLCDHU	InChI=1S/C8H11NO2/c1-2-5-3-6(8(10)11)7(9)4-5/h6-7H,1,3-4,9H2,(H,10,11)	C8H11NO2	53	-2540.4363532007555	(1R,2S)-2-amino-4-ethenylidenecyclopentane-1-carboxylic acid	O=C(O)C1CC(=C=C)CC1N	1.8379999999999996	75105443;5275662	biological
RWQHTLXKXWZVIL	InChI=1S/C8H11NO2/c9-4-6-1-2-7(5-10)8(11)3-6/h1-3,10-11H,4-5,9H2	C8H11NO2	54	-2540.9057124510073	Benzenemethanol, 4-(aminomethyl)-2-hydroxy-	OC1=CC(=CC=C1CO)CN	0.356	71333003	Natural Products:(UNPD55647)
LGDHZCLREKIGKJ	InChI=1S/C8H11NO2/c1-10-7-4-3-6(9)5-8(7)11-2/h3-5H,9H2,1-2H3	C8H11NO2	55	-2541.3465722524215	Oprea1_292429	O(C1=CC=C(N)C=C1OC)C	0.7669999999999999	22770	ZINC bio:(ZINC00152509)
KTLGOFUVPVQNON	InChI=1S/C8H11NO2/c1-2-3-6-4-7(8(10)11)9-5-6/h3,5,7H,2,4H2,1H3,(H,10,11)	C8H11NO2	56	-2542.2453606378426	3-Propylidene-delta(1)-pyrroline-5-carboxylic acid	O=C(O)C1N=CC(=CCC)C1	0.5369999999999999	101638708;93495197;93495196;45082066;6444267;197546	MeSH:(3-propylidene-delta(1)-pyrroline-5-carboxylic acid 3-propylidene-delta(1)-pyrroline-5-carboxylic acid 3-propylidene-delta(1)-pyrroline-5-carboxylic acid);biological;ZINC bio:(ZINC39057645 ZINC39057646)
SOVXTYUYJRFSOG	InChI=1S/C8H11NO2/c10-6-5-9-7-1-3-8(11)4-2-7/h1-4,9-11H,5-6H2	C8H11NO2	57	-2543.206999095088	2-(4-Hydroxyanilino)ethanol	OC1=CC=C(C=C1)NCCO	0.5529999999999997	3016506	biological
NAMWREVXAKBGFY	InChI=1S/C8H11NO2/c9-5-8(11)6-3-1-2-4-7(6)10/h1-4,8,10-11H,5,9H2	C8H11NO2	58	-2544.1578968589715	2-octopamine	OC1=CC=CC=C1C(O)CN	0.5609999999999999	40582722;40582719;122286	MeSH:(2-octopamine);biological
INIJHFWSVNHMDI	InChI=1S/C8H11NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h3-4,7-11H,1-2H2	C8H11NO2	59	-2544.178959605979	""	OC1C=C2NCCC2=CC1O	-0.13900000000000007	25200514	biological;Biocyc:(CPD-8853)
POWFPUZBWRVEHF	InChI=1S/C8H11NO2/c1-6(2)4-7(3)8(10)11-5-9/h6H,3-4H2,1-2H3	C8H11NO2	60	-2544.6554091488533	cyano 4-methyl-2-methylidenepentanoate	N#COC(=O)C(=C)CC(C)C	2.051	22999458	biological
KJTXCKZBFHBRQT	InChI=1S/C8H11NO2/c1-2-11-6-3-4-7(9)8(10)5-6/h3-5,10H,2,9H2,1H3	C8H11NO2	61	-2545.33955803534	2-Hydroxyphenetidine	OC=1C=C(OCC)C=CC1N	1.566	97344	MeSH:(2-hydroxyphenetidine);biological
BGTYXSMQJAWTJV	InChI=1S/C8H11NO2/c10-6-5-8(7(11)9-6)3-1-2-4-8/h1-5H2,(H,9,10,11)	C8H11NO2	62	-2545.885139544296	2-azaspiro[4.4]nonane-1,3-dione	O=C1N=C(O)CC12CCCC2	0.98	4961799	biological
CGYIFFSHZMZBES	InChI=1S/C8H11NO2/c1-9-5-3-4-7(6-9)8(10)11-2/h3-5H,6H2,1-2H3	C8H11NO2	63	-2547.8587013930355	methyl 1-methyl-2H-pyridine-3-carboxylate	O=C(OC)C1=CC=CN(C)C1	0.8460000000000001	20042018	biological
QHGUCRYDKWKLMG	InChI=1S/C8H11NO2/c9-5-8(11)6-1-3-7(10)4-2-6/h1-4,8,10-11H,5,9H2	C8H11NO2	64	-2548.580471467247	Norphen	OC1=CC=C(C=C1)[C](O)[C]N	0.1319999999999999	71751290;45040141;21680226;6950152;6918910;448337;440266;4581	KNApSAcK:(1425);HMDB:(4825);Natural Products:(UNPD190602 UNPD60171);CHEBI:(58025 17134);ZINC bio:(ZINC00000558 ZINC00388198);KEGG:(C04227);MeSH:(Octopamine Octopamine);biological;Biocyc:(CPD-58)
VYHSWZULFYFDMO	InChI=1S/C8H11NO2/c10-6-5-9-7-3-1-2-4-8(7)11/h1-4,9-11H,5-6H2	C8H11NO2	65	-2549.7199033225734	2-(2-Hydroxyanilino)ethanol	OC1=CC=CC=C1NCCO	0.9819999999999998	3016046	ZINC bio:(ZINC02562570)
PVLQTYFKRFUPNS	InChI=1S/C8H11NO2/c1-2-6-9-7(10)4-3-5-8(9)11/h2H,1,3-6H2	C8H11NO2	66	-2550.4152593528315	2,6-Piperidinedione, 1-(2-propenyl)-	O=C1N(C(=O)CCC1)CC=C	0.1449999999999999	11789405	biological
GEQNZVKIDIPGCO	InChI=1S/C8H11NO2/c1-10-6-3-4-7(9)8(5-6)11-2/h3-5H,9H2,1-2H3	C8H11NO2	67	-2550.479228712723	2,4-Domethoxyaniline	O(C=1C=CC(N)=C(OC)C1)C	1.035	24848221;17652	HSDB:(2735-04-8);biological;ZINC bio:(ZINC00164543)
VYFYYTLLBUKUHU	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	C8H11NO2	68	-2550.794455801482	intropin	OC1=CC=C(C=C1O)CCN	0.651	118050204;102601159;102601070;102085251;91622591;91323489;90477543;88898406;88365521;87775092;67114988;66552395;54417148;54417147;54417146;54417145;51038520;25241144;25241143;22857281;22851969;22851103;21969852;18598659;18598488;12207262;12207256;11993861;11993860;11993858;11506498;3713609;450881;681	training set;KNApSAcK:(1408);HMDB:(73);Natural Products:(UNPD99458);CHEBI:(59905 18243);ZINC bio:(ZINC00033882);HSDB:(51-61-6);KEGG:(C03758);MeSH:(Dopamine Dopamine);biological;Biocyc
JPWITCRJVNDZOC	InChI=1S/C8H11NO2/c1-6(2)3-4-7(5-9)8(10)11/h4,6H,3H2,1-2H3,(H,10,11)	C8H11NO2	69	-2551.0950878220324	(Z)-2-cyano-5-methylhex-2-enoate	[H]C(=C(C#N)C(=O)O)CC(C)C	1.9180000000000001	82254006;53968379;17915052;17915051	biological
NAMWREVXAKBGFY	InChI=1S/C8H11NO2/c9-5-8(11)6-3-1-2-4-7(6)10/h1-4,8,10-11H,5,9H2	C8H11NO2	70	-2552.9719631274384	2-octopamine	OC1=CC=CC=C1C(O)CN	0.5609999999999999	40582722;40582719;122286	MeSH:(2-octopamine);biological
JNPCNDJVEUEFBO	InChI=1S/C8H11NO2/c1-2-3-6-9-7(10)4-5-8(9)11/h4-5H,2-3,6H2,1H3	C8H11NO2	71	-2553.0206572632956	N-Butylmaleimide	O=C1C=CC(=O)N1CCCC	0.8159999999999998	239780	biological;ZINC bio:(ZINC01677322)
WRPWWVNUCXQDQV	InChI=1S/C8H11NO2/c1-11-8-4-6(5-9)2-3-7(8)10/h2-4,10H,5,9H2,1H3	C8H11NO2	72	-2553.699918732122	Vanillylamine	OC1=CC=C(C=C1OC)CN	0.385	44632688;6951328;70966	HMDB:(12309);CHEBI:(46958);ZINC bio:(ZINC00404428);KEGG:(C16666);MeSH:(vanillylamine);biological;Biocyc
GGVVXUOTCYQJNE	InChI=1S/C8H11NO2/c1-2-3-7-11-8(10)5-4-6-9/h4-5H,2-3,7H2,1H3	C8H11NO2	73	-2554.095962331086	""	N#CC=CC(=O)OCCCC	1.3630000000000002	53436172;21415814	biological
CLJHZQFAKIIMBA	InChI=1S/C8H11NO2/c1-11-7-4-2-3-6(5-9)8(7)10/h2-4,10H,5,9H2,1H3	C8H11NO2	74	-2555.0633774467497	2-(aminomethyl)-6-methoxyphenol	OC1=C(OC)C=CC=C1CN	0.8140000000000001	16775572	MeSH:(3-methoxysalicylamine)
ZYJKONDZYOWOHE	InChI=1S/C8H11NO2/c9-8-2-1-6(4-10)3-7(8)5-11/h1-3,10-11H,4-5,9H2	C8H11NO2	75	-2558.3600466258513	""	OCC=1C=CC(N)=C(C1)CO	0.011999999999999955	67127241	MeSH:(2,4-bis(hydroxymethyl)aniline)
JJJFUHOGVZWXNQ	InChI=1S/C8H11NO2/c1-3-4-5-11-8(10)7(2)6-9/h2-5H2,1H3	C8H11NO2	76	-2558.671500658851	Histoacryl	N#CC(=C)C(=O)OCCCC	1.5240000000000002	23087	KEGG:(C13415);MeSH:(Enbucrilate);biological;ZINC bio:(ZINC02033854)
GJALSWMYKNXWNK	InChI=1S/C8H11NO2/c10-7-5-3-1-2-4-6(5)8(11)9-7/h9-11H,1-4H2	C8H11NO2	77	-2559.3797229856664	""	OC=1NC(O)=C2C1CCCC2	2.433	53631539	biological
HJIDMVZCXORAIG	InChI=1S/C8H11NO2/c1-11-8-3-2-6(5-9)4-7(8)10/h2-4,10H,5,9H2,1H3	C8H11NO2	78	-2561.1698997754097	ACMC-20lpbv	OC1=CC(=CC=C1OC)CN	0.385	6969855;1132998	biological
GGWBSAHRYPTUIJ	InChI=1S/C8H11NO2/c1-3-6-5-7(10)9(4-2)8(6)11/h5H,3-4H2,1-2H3	C8H11NO2	79	-2563.463469998167	1,3-diethylpyrrole-2,5-dione	O=C1C=C(C(=O)N1CC)CC	0.5339999999999998	53837663;22022549	biological
LKRGPFUSRGAOIP	InChI=1S/C8H11NO2/c1-11-7-6-9-5-3-2-4-8(9)10/h2-5H,6-7H2,1H3	C8H11NO2	80	-2564.543053924359	""	O=C1C=CC=CN1CCOC	-0.161	45869459	biological
KJTXCKZBFHBRQT	InChI=1S/C8H11NO2/c1-2-11-6-3-4-7(9)8(10)5-6/h3-5,10H,2,9H2,1H3	C8H11NO2	81	-2566.310195232083	2-Hydroxyphenetidine	OC=1C=C(OCC)C=CC1N	1.566	97344	MeSH:(2-hydroxyphenetidine);biological
LCWFIBYPSAWVLI	InChI=1S/C8H11NO2/c1-3-9-5-4-7(10)8(11)6(9)2/h4-5,11H,3H2,1-2H3	C8H11NO2	82	-2567.0582979530127	CP21 (Chelating agent)	O=C1C=CN(C(=C1O)C)CC	1.744	90127578;94413	MeSH:(1-ethyl-2-methyl-3-hydroxypyridin-4-one);biological
